	T6	T7
D266	T7	0.78116775
D267	T1	0.56300980
D268	T2	0.69358230
D269	T1	0.55582988
D270	T1	0.59873635
D271	T1	0.55563724
D272	T7	0.54046893
D273	T7	0.43743005
D274	T2	0.50381243
D275	T4	0.54747027
D276	T1	0.71926606
D277	T1	0.63158071
D278	T1	0.58189064
D279	T1	0.65720874
D280	T3	0.32309315
D281	T1	0.60958952
D282	T7	0.48265916
D283	T7	0.69733626
D284	T7	0.32213023
D285	T7	0.53836167
D286	T7	0.55564481
D287	T7	0.48938313
D288	T7	0.77395004
D289	T7	0.66981751
D290	T7	0.58761281
D291	T1	0.45993781
D292	T1	0.37441817
D293	T1	0.43232772
D294	T6	0.53516138
D295	T6	0.58698034
D296	T7	0.37475044
D297	T1	0.44340801
D298	T2	0.54383141
D299	T4	0.48974049
D300	T3	0.52865034
D301	T2	0.73587364
D302	T2	0.74605495
D303	T2	0.80354083
D304	T1	0.54303813
D305	T2	0.69262779
D306	T6	0.56258446
D307	T3	0.54990566
D308	T3	0.70866913
D309	T3	0.66799468
D310	T3	0.60285729
D311	T6	0.47339800
D312	T7	0.63711876
D313	T3	0.78915083
D314	T1	0.60771275
D315	T2	0.85586530
D316	T2	0.84471971
D317	T2	0.72930801
D318	T2	0.78624231
D319	T3	0.62407130
D320	T2	0.63181144
D321	T2	0.81940299
D322	T2	0.75106275
D323	T3	0.58396512
D324	T3	0.62331271
D325	T5	0.42817771
D326	T2	0.70673585
D327	T2	0.74193102
D328	T3	0.56684363
D329	T2	0.63860917
D330	T1	0.40146020
D331	T2	0.45342168
D332	T3	0.78296316
D333	T2	0.75174552
D334	T7	0.51695019
D335	T2	0.81528479
D336	T2	0.84765875
D337	T2	0.77247167
D338	T7	0.55529076
D339	T3	0.86821580
D340	T2	0.76444888
D341	T2	0.52567887
D342	T2	0.90309972
D343	T2	0.73614812
D344	T2	0.84620726
D345	T2	0.67118126
D346	T0	0.92105573
D347	T0	0.88332415
D348	T2	0.52281255
D349	T0	0.73287445
D350	T2	0.72167450
D351	T2	0.88571805
D352	T0	0.57978487
D353	T2	0.96481049
D354	T2	0.73455173
D355	T2	0.72465396
D356	T0	0.71752006
D357	T2	0.92969155
D358	T0	0.54698294
D359	T2	0.86616164
D360	T0	0.40357983
D361	T2	0.67163181
D362	T0	0.53471160
D363	T0	0.69517416
D364	T2	0.92314738
D365	T2	0.88634437
D366	T2	0.75374073
D367	T2	0.82688326
D368	T2	0.80455184
D369	T2	0.78295666
D370	T0	0.63678592
D371	T0	0.67175889
D372	T7	0.47214389
D373	T2	0.79811484
D374	T0	0.75120842
D375	T2	0.77636349
D376	T2	0.81324697
D377	T0	0.65857583
D378	T2	0.72291142
D379	T2	0.52777410
D380	T0	0.53287113
D381	T3	0.69128925
D382	T2	0.76343137
D383	T2	0.65377504
D384	T2	0.89761502
D385	T2	0.81844938
D386	T3	0.45180008
D387	T2	0.84256136
D388	T1	0.62734616
D389	T2	0.70275736
D390	T2	0.87848800
D391	T2	0.80270720
D392	T1	0.80644232
D393	T7	0.47977138
D394	T1	0.53265101
D395	T7	0.66237110
D396	T7	0.92567873
D397	T7	0.45758823
D398	T7	0.77366483
D399	T7	0.94686735
D400	T7	0.72192484
D401	T7	0.60843891
D402	T3	0.66189802
D403	T7	0.52416837
D404	T7	0.64518327
D405	T4	0.47596359
D406	T4	0.73296642
D407	T4	0.50870353
D408	T0	0.73523158
D409	T0	0.74551719
D410	T0	0.78485870
D411	T0	0.71354991
D412	T4	0.43913051
D413	T0	0.79412842
D414	T0	0.79590434
D415	T0	0.71268457
D416	T6	0.45306334
D417	T0	0.73736650
D418	T0	0.72274923
D419	T4	0.78941786
D420	T0	0.78328419
D421	T2	0.76640922
D422	T0	0.51845294
D423	T4	0.64864588
D424	T0	0.54079175
D425	T0	0.86844355
D426	T0	0.75692594
D427	T0	0.76262867
D428	T0	0.65582031
D429	T0	0.66662520
D430	T0	0.68803102
D431	T0	0.64879572
D432	T0	0.69736749
D433	T7	0.49636698
D434	T3	0.56679970
D435	T2	0.49221227
D436	T2	0.87037557
D437	T2	0.71070451
D438	T3	0.65755165
D439	T3	0.77891219
D440	T6	0.52465856
D441	T3	0.52265364
D442	T3	0.52391380
D443	T2	0.93059033
D444	T2	0.93227613
