	T0	T1	T2	T3	T4	T5	T6	T7
D272	0.05564391	0.00268941	0.20347813	0.17166211	0.02392263	0.00060891	0.00152596	0.54046893
D273	0.02903121	0.01194085	0.39470762	0.10809624	0.00931532	0.00270355	0.00677517	0.43743005
D274	0.00492555	0.01223730	0.50381243	0.11077988	0.00954658	0.00277067	0.00694337	0.34898427
D275	0.02045209	0.09982923	0.02578634	0.05583689	0.54747027	0.01028646	0.00136242	0.23897630
D276	0.02569907	0.71926606	0.08549258	0.11598881	0.02167560	0.00055172	0.01126993	0.02005630
D277	0.00071811	0.63158071	0.03001818	0.10663897	0.00863087	0.02574059	0.10959791	0.08707474
D278	0.00411426	0.58189064	0.00787358	0.13547866	0.01848578	0.00038314	0.14515148	0.10662255
D279	0.00055843	0.65720874	0.02615802	0.19551408	0.02078513	0.00031412	0.04863682	0.05082469
D280	0.08914129	0.22911215	0.00184213	0.32309315	0.07775337	0.00070066	0.16499074	0.11336649
D281	0.00523357	0.60958952	0.03955926	0.09006746	0.01246832	0.00011236	0.02444395	0.21852553
D282	0.01312887	0.00540005	0.36474058	0.11461673	0.01516803	0.00122263	0.00306396	0.48265916
D283	0.00592447	0.03209870	0.12009812	0.13081975	0.00190100	0.01043902	0.00138262	0.69733626
D284	0.02830690	0.20398849	0.17567854	0.19002509	0.00939418	0.00030976	0.07016681	0.32213023
D285	0.15063633	0.00294665	0.05555613	0.22992736	0.00827676	0.00066716	0.01362793	0.53836167
D286	0.00842284	0.00346441	0.16371563	0.01027680	0.00973107	0.00078438	0.24796002	0.55564481
D287	0.00081552	0.02668909	0.05464251	0.05533623	0.00158062	0.00045874	0.37109417	0.48938313
D288	0.01588194	0.00126298	0.00331407	0.04986726	0.00098528	0.00028595	0.15445250	0.77395004
D289	0.03691332	0.04883788	0.00106201	0.08130232	0.00139183	0.00402347	0.15665168	0.66981751
D290	0.17284665	0.00184419	0.00109778	0.03914319	0.00143869	0.00041755	0.19559914	0.58761281
D291	0.00078332	0.45993781	0.01695127	0.06499605	0.20287663	0.02018165	0.00110422	0.23316903
D292	0.00048713	0.37441817	0.00072042	0.17300686	0.01322073	0.01500591	0.32233298	0.10080784
D293	0.03587484	0.43232772	0.00478810	0.17072833	0.28369156	0.00182119	0.03720117	0.03356711
D294	0.04560615	0.00017533	0.00337618	0.09544826	0.01278095	0.00038117	0.53516138	0.30707055
D295	0.00409357	0.00085916	0.06529561	0.05331986	0.00168872	0.01405574	0.58698034	0.27370703
D296	0.00137624	0.29531258	0.06702524	0.12036476	0.00876285	0.02931080	0.10309712	0.37475044
D297	0.00799691	0.44340801	0.08594758	0.01421624	0.24028133	0.00690369	0.16857810	0.03266819
D298	0.08331390	0.00092695	0.54383141	0.16272314	0.00182196	0.00201515	0.12045869	0.08490884
D299	0.00248704	0.17823635	0.03226541	0.01018005	0.48974049	0.00113477	0.06783256	0.21812336
D300	0.43067217	0.00085916	0.00435580	0.52865034	0.02606464	0.00186778	0.00195817	0.00557187
D301	0.00699028	0.10552936	0.73587364	0.07023778	0.04450859	0.00318947	0.02415626	0.00951465
D302	0.01938916	0.00040973	0.74605495	0.05448937	0.00661766	0.00089073	0.04162011	0.13052833
D303	0.00372989	0.01188800	0.80354083	0.02637252	0.01264386	0.00170185	0.00178420	0.13833886
D304	0.00137063	0.54303813	0.06267089	0.01377197	0.10258618	0.00470621	0.20469716	0.06715888
D305	0.00657947	0.00138091	0.69262779	0.12487806	0.00271423	0.00300203	0.00314730	0.16567020
D306	0.02061222	0.00008382	0.00042493	0.25370103	0.00135373	0.00969415	0.56258446	0.15154560
D307	0.33452511	0.00012863	0.02984662	0.54990566	0.02944733	0.00210428	0.03678630	0.01725608
D308	0.07530461	0.00026104	0.00132341	0.70866913	0.00051308	0.14498617	0.01170408	0.05723854
D309	0.04392928	0.00027318	0.00138496	0.66799468	0.07416660	0.18273041	0.00837310	0.02114784
D310	0.10088509	0.00410075	0.00136904	0.60285729	0.00053077	0.21510683	0.00444617	0.07070404
D311	0.03334662	0.01528224	0.13358501	0.00535056	0.00197802	0.00218775	0.47339800	0.33487186
D312	0.01029436	0.00021754	0.05356421	0.13385293	0.00968546	0.00047292	0.15479384	0.63711876
D313	0.15641159	0.02111710	0.00364500	0.78915083	0.00141315	0.00156299	0.00163862	0.02506076
D314	0.10615375	0.60771275	0.00264635	0.02498958	0.06026410	0.05296812	0.02340398	0.12186141
D315	0.00381462	0.00080062	0.85586530	0.02697156	0.00157364	0.00174050	0.00182473	0.10740894
D316	0.00332386	0.00069762	0.84471971	0.01360536	0.02116373	0.00151659	0.00158997	0.11338317
D317	0.00486429	0.00102092	0.72930801	0.01991069	0.00200666	0.01670208	0.07474005	0.15144734
D318	0.02085727	0.00110062	0.78624231	0.00585180	0.00216332	0.00239270	0.17425421	0.00713778
D319	0.28077468	0.00187461	0.01813750	0.62407130	0.00024264	0.00201953	0.00203251	0.07084719
D320	0.04861517	0.00146713	0.63181144	0.04942533	0.00288370	0.00318947	0.00334381	0.25926402
D321	0.00906576	0.00190274	0.81940299	0.01011647	0.00373990	0.03112834	0.03132851	0.09331530
D322	0.15415588	0.03088068	0.75106275	0.03541926	0.00206652	0.00228564	0.01731090	0.00681841
D323	0.17207569	0.00046059	0.02847068	0.58396512	0.01397309	0.00100131	0.07945644	0.12059707
D324	0.15574312	0.00076583	0.00388259	0.62331271	0.06668852	0.05598425	0.00174543	0.09187756
D325	0.01289419	0.19465828	0.01372017	0.05277901	0.00531924	0.42817771	0.23651040	0.05594103
D326	0.01383902	0.00444099	0.70673585	0.13430841	0.00057481	0.00478431	0.00066652	0.13465010
D327	0.00161439	0.00033883	0.74193102	0.09312650	0.00066598	0.00073660	0.00077224	0.16081449
D328	0.14161310	0.00088063	0.00446463	0.56684363	0.21410303	0.00191445	0.00200709	0.06817348
D329	0.22188254	0.00293132	0.63860917	0.01558525	0.00576162	0.00637255	0.00668092	0.10217664
D330	0.03682614	0.40146020	0.00207724	0.16492356	0.15773812	0.01251538	0.11136802	0.11309136
D331	0.33279350	0.00281429	0.45342168	0.13473226	0.00553160	0.00611814	0.04633727	0.01825130
D332	0.02016232	0.00032780	0.02491249	0.78296316	0.15874842	0.00071262	0.01004735	0.00212586
D333	0.02355834	0.00038301	0.75174552	0.05093665	0.00075283	0.00083265	0.02260639	0.14918464
D334	0.00610138	0.00128057	0.13365358	0.02497443	0.00251700	0.00278389	0.31173903	0.51695019
D335	0.03595166	0.00034547	0.81528479	0.08024966	0.00067904	0.00075104	0.00078738	0.06595090
D336	0.00588748	0.00123567	0.84765875	0.00656983	0.00242876	0.00268630	0.05540342	0.07812980
D337	0.04313995	0.00041455	0.77247167	0.02572681	0.00081481	0.00090120	0.00682550	0.14970559
D338	0.06288379	0.00132885	0.15754332	0.00706522	0.04031348	0.00288885	0.17268574	0.55529076
D339	0.01440258	0.00023416	0.01115232	0.86821580	0.00046025	0.04701323	0.03707268	0.02144893
D340	0.00266462	0.00849273	0.76444888	0.09024166	0.00109923	0.06468359	0.00127462	0.06709468
D341	0.01093555	0.00023109	0.52567887	0.13891181	0.00045421	0.01361506	0.03658656	0.27358681
D342	0.00486429	0.00102092	0.90309972	0.03439333	0.00200666	0.01670208	0.00232684	0.03558619
D343	0.06466798	0.00105138	0.73614812	0.06524856	0.00206652	0.00228564	0.01731090	0.11122096
D344	0.00799691	0.00042199	0.84620726	0.05612031	0.00082944	0.00690369	0.00694808	0.07457227
D345	0.10181896	0.00097841	0.67118126	0.04684084	0.00192311	0.04376584	0.01610955	0.11738205
D346	0.92105573	0.00316083	0.00359880	0.05552996	0.00326473	0.00023395	0.00024527	0.01291075
D347	0.88332415	0.00009709	0.00737883	0.03081724	0.01947330	0.03051209	0.00573056	0.02266676
D348	0.02397845	0.01640302	0.52281255	0.06118758	0.00032144	0.00035552	0.09316978	0.28177166
D349	0.73287445	0.00019471	0.04794220	0.09218331	0.00038270	0.00042328	0.06397122	0.06202810
D350	0.00277468	0.00058235	0.72167450	0.10223033	0.00114464	0.00126601	0.00132727	0.16900015
D351	0.00302454	0.01864500	0.88571805	0.00337508	0.01925791	0.00138002	0.00144680	0.06715249
D352	0.57978487	0.00442264	0.00973932	0.36924380	0.00057243	0.00476454	0.00066377	0.03080858
D353	0.00699028	0.00146713	0.96481049	0.00780044	0.00288370	0.00318947	0.00334381	0.00951465
D354	0.03239595	0.00335527	0.73455173	0.03878661	0.00356860	0.00048033	0.00050357	0.18635793
D355	0.02827905	0.00031463	0.72465396	0.09540269	0.00061842	0.00068400	0.03196038	0.11808693
D356	0.71752006	0.00022447	0.00432222	0.24956295	0.00362542	0.00685643	0.00051159	0.01737683
D357	0.01396655	0.00293132	0.92969155	0.01558525	0.00576162	0.00637255	0.00668092	0.01901024
D358	0.54698294	0.00026901	0.02426037	0.31816593	0.01960921	0.02729746	0.01206139	0.05135377
D359	0.06664741	0.00201131	0.86616164	0.03922592	0.00395331	0.00437250	0.00458409	0.01304381
D360	0.40357983	0.00027531	0.01311232	0.31390497	0.12551762	0.00059851	0.01234402	0.13066745
D361	0.01297977	0.00320461	0.67163181	0.11188445	0.00041478	0.00943950	0.00048096	0.18996409
D362	0.53471160	0.01808721	0.05046646	0.18829212	0.01838965	0.07177684	0.03626185	0.08201427
D363	0.69517416	0.00037890	0.03417064	0.13638832	0.02761949	0.00082370	0.04923813	0.05620674
D364	0.01804055	0.00095199	0.92314738	0.03207097	0.00187117	0.00206957	0.00216972	0.01967856
D365	0.01283105	0.00038722	0.88634437	0.02403098	0.00076110	0.01732095	0.00088254	0.05744172
D366	0.01763266	0.00370077	0.75374073	0.01967626	0.00727400	0.00804530	0.06093308	0.12899722
D367	0.00142894	0.00029991	0.82688326	0.03137568	0.00058948	0.00065199	0.03046467	0.10830614
D368	0.04762251	0.00100635	0.80455184	0.00535056	0.00197802	0.00218775	0.00229362	0.13500941
D369	0.01381778	0.00041700	0.78295666	0.01996352	0.00081963	0.00090654	0.10151345	0.07960548
D370	0.63678592	0.00114119	0.01317351	0.28396708	0.00014771	0.00336150	0.00017127	0.06125182
D371	0.67175889	0.00113324	0.00019561	0.26128203	0.00007584	0.00282053	0.00829790	0.05443598
D372	0.03386124	0.21921822	0.07307708	0.00292700	0.00108206	0.02462548	0.17306505	0.47214389
D373	0.00780219	0.00163754	0.79811484	0.00870645	0.00321864	0.00355992	0.09665136	0.08030914
D374	0.75120842	0.00028419	0.01353522	0.18292736	0.00055859	0.00061782	0.04096246	0.00990599
D375	0.00381462	0.05758771	0.77636349	0.00425673	0.00157364	0.00174050	0.00182473	0.15283863
D376	0.01905687	0.00040271	0.81324697	0.05355553	0.00079153	0.00087546	0.00091783	0.11115318
D377	0.65857583	0.00024137	0.00122372	0.19303252	0.07922855	0.06215840	0.00055013	0.00498946
D378	0.01994639	0.00015061	0.72291142	0.07557939	0.00029603	0.01314661	0.00247980	0.16548972
D379	0.00090276	0.04050683	0.52777410	0.16227682	0.01649936	0.04879273	0.00311966	0.20012774
D380	0.53287113	0.00005229	0.03513034	0.25101092	0.02977531	0.03275347	0.00605369	0.11235294
D381	0.00556096	0.00016782	0.00323150	0.69128925	0.05508548	0.01464891	0.11465509	0.11536096
D382	0.00159901	0.00033560	0.76343137	0.01606677	0.01494208	0.00072959	0.12454601	0.07834946
D383	0.00819465	0.00024730	0.65377504	0.15567473	0.00399426	0.00053762	0.00056364	0.17701274
D384	0.00931726	0.00195552	0.89761502	0.01039711	0.00384364	0.00425121	0.05993824	0.01268196
D385	0.00790230	0.00041700	0.81844938	0.00221710	0.00081963	0.00090654	0.03644324	0.13284473
D386	0.00100245	0.03602614	0.13239105	0.45180008	0.00638283	0.02134991	0.00047952	0.35056797
D387	0.00144120	0.00030248	0.84256136	0.07455453	0.02634029	0.00065758	0.02643515	0.02770741
D388	0.01319342	0.62734616	0.03590766	0.14896962	0.00643077	0.00086557	0.00655564	0.16073118
D389	0.00486591	0.00014685	0.70275736	0.05910823	0.01487050	0.02115048	0.00241781	0.19468288
D390	0.00824366	0.01894802	0.87848800	0.00231287	0.00085503	0.01945871	0.03184648	0.03984717
D391	0.00059865	0.00903754	0.80270720	0.03631559	0.00024696	0.00027315	0.06445198	0.08636899
D392	0.00500938	0.80644232	0.02024492	0.06524856	0.00206652	0.07685889	0.00239625	0.02173305
D393	0.30010653	0.00035063	0.01669941	0.12123860	0.00068917	0.07537123	0.00577306	0.47977138
D394	0.01048016	0.53265101	0.01115150	0.07410084	0.16033851	0.00478181	0.06741925	0.13907693
D395	0.02537940	0.00024388	0.09118682	0.18119746	0.02123714	0.01436871	0.00401547	0.66237110
D396	0.01035171	0.00054625	0.00276939	0.01065336	0.00107368	0.03993275	0.00899404	0.92567873
D397	0.12817970	0.00049279	0.05143292	0.00262007	0.11980968	0.22477217	0.01510445	0.45758823
D398	0.13881969	0.00117394	0.00595164	0.00624160	0.00230742	0.06916527	0.00267558	0.77366483
D399	0.02689173	0.00056827	0.00288102	0.01914415	0.00111696	0.00123539	0.00129517	0.94686735
D400	0.07790083	0.00027004	0.10096751	0.07421924	0.02351503	0.00058705	0.00061546	0.72192484
D401	0.27121499	0.00260620	0.08715507	0.01385665	0.00512258	0.00566575	0.00593992	0.60843891
D402	0.19415571	0.00870886	0.00051271	0.66189802	0.00163340	0.01600068	0.01027284	0.10681781
D403	0.29099894	0.00049626	0.00251594	0.03783784	0.00097542	0.14187615	0.00113105	0.52416837
D404	0.08931885	0.00023033	0.01423758	0.10578334	0.05926699	0.07891975	0.00705988	0.64518327
D405	0.10275766	0.00058721	0.05295695	0.04477200	0.47596359	0.00127656	0.00133833	0.32034776
D406	0.15034911	0.00085916	0.02873172	0.00456801	0.73296642	0.00186778	0.03852205	0.04213576
D407	0.09633773	0.00055052	0.04964839	0.03416524	0.50870353	0.00119680	0.00125472	0.30814311
D408	0.73523158	0.00019101	0.04703284	0.11753153	0.01121414	0.02480231	0.00043535	0.06356124
D409	0.74551719	0.00016203	0.01001587	0.14107588	0.04169321	0.01644243	0.01416088	0.03093258
D410	0.78485870	0.00017490	0.01825436	0.08032488	0.02763579	0.00534241	0.00287972	0.08052924
D411	0.71354991	0.00012564	0.01667840	0.15395255	0.00024696	0.03592071	0.00028636	0.07923947
D412	0.00179563	0.01106930	0.03398796	0.10892808	0.43913051	0.05428146	0.00085894	0.34994814
D413	0.79412842	0.03107715	0.01344672	0.10607928	0.00659950	0.02207464	0.00049580	0.02609847
D414	0.79590434	0.00011536	0.01040407	0.09716877	0.01168248	0.02643531	0.00026293	0.05802679
D415	0.71268457	0.00596601	0.02119990	0.11921918	0.00039924	0.11281791	0.00046294	0.02725029
D416	0.01156252	0.31225687	0.08115433	0.01290260	0.10804659	0.00527566	0.45306334	0.01573805
D417	0.73736650	0.00018947	0.00096059	0.08701775	0.01112371	0.06223185	0.00849531	0.09261478
D418	0.72274923	0.00027639	0.01316373	0.21711506	0.00054326	0.01236334	0.00062994	0.03315908
D419	0.01570722	0.00082886	0.02771823	0.05143904	0.78941786	0.00180190	0.00188909	0.11119770
D420	0.78328419	0.00018696	0.00890439	0.06199419	0.00036748	0.10914586	0.01368701	0.02242992
D421	0.08663394	0.00140850	0.76640922	0.00748872	0.00276846	0.00306201	0.00321019	0.12901893
D422	0.51845294	0.00020609	0.00104484	0.40747127	0.03841142	0.00921873	0.01508754	0.01010724
D423	0.04597812	0.00024304	0.00123216	0.02887381	0.64864588	0.03500539	0.13156664	0.10845496
D424	0.54079175	0.00026596	0.00134838	0.16364872	0.08729943	0.15903994	0.00060617	0.04699961
D425	0.86844355	0.00034717	0.00176010	0.05602019	0.00068238	0.03522932	0.00079126	0.03672607
D426	0.75692594	0.00021230	0.00107631	0.12761642	0.00041728	0.06671698	0.00048386	0.04655096
D427	0.76262867	0.00640957	0.00074603	0.07384393	0.01698902	0.11304343	0.00033538	0.02600398
D428	0.65582031	0.00022736	0.00437798	0.18182594	0.02302402	0.06822569	0.00051819	0.06598059
D429	0.66662520	0.00009886	0.00891579	0.18985365	0.04507207	0.00862950	0.00022532	0.08057964
D430	0.68803102	0.00032478	0.00164657	0.19523223	0.00985291	0.04217150	0.00074022	0.06200081
D431	0.64879572	0.00008979	0.00427666	0.23231034	0.02310502	0.03968323	0.00020465	0.05153462
D432	0.69736749	0.00018597	0.00094285	0.18830006	0.01883285	0.05316804	0.01097661	0.03022614
D433	0.05982684	0.00045174	0.09841439	0.04725974	0.29566869	0.00098206	0.00102958	0.49636698
D434	0.17738746	0.00019743	0.00100094	0.56679970	0.01719251	0.17687598	0.00044998	0.06009598
D435	0.04711869	0.03979974	0.49221227	0.05650944	0.03754293	0.11816304	0.04340955	0.16524440
D436	0.05234172	0.00058235	0.87037557	0.00309626	0.00114464	0.05083305	0.00132727	0.02029904
D437	0.10756978	0.00037288	0.71070451	0.01256186	0.00073292	0.13834171	0.00084986	0.02886651
D438	0.03957457	0.00957425	0.00156676	0.65755165	0.03364821	0.00032042	0.11203468	0.14572948
D439	0.01769590	0.01125771	0.00330447	0.77891219	0.09601596	0.02414110	0.04608608	0.02258655
D440	0.00160351	0.21779265	0.00590791	0.02666172	0.00196781	0.00120825	0.52465856	0.22019969
D441	0.15400484	0.02660173	0.01020183	0.52265364	0.27871311	0.00030835	0.00058671	0.00692981
D442	0.20746791	0.03921689	0.03339717	0.52391380	0.16548434	0.00037325	0.00071020	0.02943646
D443	0.00114746	0.00145654	0.93059033	0.00282689	0.00140815	0.05774653	0.00164513	0.00317901
D444	0.03192881	0.01758440	0.93227613	0.00518749	0.00258402	0.00158660	0.00301889	0.00583363
D445	0.01833163	0.03013623	0.76735049	0.03352493	0.00874091	0.01187772	0.00128596	0.12875213
D446	0.00114746	0.00145654	0.78432250	0.00282689	0.02578611	0.00086461	0.10728297	0.07631289
D447	0.00503203	0.00638744	0.30362329	0.08366784	0.00617523	0.00379163	0.50611061	0.08521198
D448	0.00178605	0.10345361	0.00658044	0.57357401	0.20456477	0.00134579	0.04050561	0.06818976
D449	0.41351971	0.00053656	0.02251158	0.40515804	0.03045330	0.00031851	0.00060603	0.12689628
D450	0.05504909	0.03819084	0.88535810	0.00609658	0.00303686	0.00186465	0.00354794	0.00685597
D451	0.00937519	0.01190046	0.83125085	0.02309680	0.01150509	0.00706419	0.01344131	0.09236616
D452	0.07294627	0.00416247	0.87130886	0.03130102	0.00402418	0.00247087	0.00470142	0.00908493
D453	0.00740788	0.00940324	0.76174039	0.07071063	0.00909084	0.00558182	0.01062076	0.12544435
D454	0.00381007	0.00483634	0.79651117	0.03636837	0.00467566	0.00287088	0.08640809	0.06451939
D455	0.00207471	0.00263354	0.80103874	0.01980376	0.01723855	0.06033327	0.04705202	0.04982541
D456	0.00087132	0.00727650	0.57706487	0.16874954	0.00106928	0.00065654	0.03210162	0.21221028
D457	0.00699862	0.00109924	0.72070926	0.02053135	0.00106272	0.03131570	0.15455751	0.06372555
D458	0.00469725	0.43840277	0.31668809	0.04483684	0.03902904	0.00353937	0.13979305	0.01301362
D459	0.00361499	0.00458871	0.93493181	0.00890593	0.00443626	0.02832425	0.00518285	0.01001524
D460	0.00207471	0.01732604	0.88919377	0.03449626	0.00254605	0.01625579	0.00297453	0.03513291
D461	0.00045106	0.00376681	0.53829688	0.17360105	0.03888460	0.00033987	0.01342371	0.23123606
D462	0.39521796	0.00334954	0.00147776	0.21685924	0.01469426	0.00030222	0.29597759	0.07212144
D463	0.00040338	0.00051204	0.60138005	0.07526635	0.00906494	0.02315705	0.00343497	0.28678128
D464	0.00126009	0.03729405	0.65606803	0.02987529	0.01047000	0.00094948	0.12673752	0.13734560
D465	0.00131894	0.00167421	0.58396339	0.04995129	0.00161859	0.00099382	0.00189098	0.35858878
D466	0.00116642	0.00148060	0.85510153	0.03591453	0.00143141	0.00087889	0.00993254	0.09409409
D467	0.03056164	0.00255837	0.73535287	0.00496536	0.00247337	0.00151866	0.07425502	0.14831464
D468	0.00287817	0.16671257	0.72398794	0.02747308	0.00353205	0.02255109	0.00412646	0.04873868
D469	0.00966618	0.23868184	0.69048715	0.00294661	0.00146778	0.00090123	0.00171480	0.05413441
D470	0.00023931	0.07826170	0.66182929	0.05990538	0.00029368	0.00526453	0.03423785	0.15996832
D471	0.26785594	0.00054471	0.00765893	0.69089687	0.02179920	0.00336229	0.00061524	0.00726676
D472	0.00612301	0.57147127	0.06592079	0.05844617	0.00751407	0.00461368	0.00877863	0.27713239
D473	0.25395238	0.00188555	0.01599233	0.37184048	0.30688712	0.01163873	0.00212969	0.03567374
D474	0.00088776	0.00112688	0.10386055	0.15307170	0.34057981	0.21442211	0.02642022	0.15963097
D475	0.07032478	0.00054471	0.00158105	0.86107761	0.00964344	0.00032334	0.02796572	0.02853935
D476	0.10600820	0.00055655	0.00161541	0.84253317	0.00053806	0.03759028	0.00062861	0.01052970
D477	0.00102279	0.31999579	0.01101145	0.05322164	0.00125515	0.03698630	0.00146639	0.57504052
D478	0.00319611	0.23575529	0.03786531	0.12140157	0.00888722	0.00029799	0.49907994	0.09351659
D479	0.00024990	0.02686298	0.02569676	0.32978314	0.47459096	0.00018830	0.00743715	0.13519087
D480	0.00392084	0.64309072	0.15295804	0.01837369	0.01090245	0.00036556	0.01787404	0.15251467
D481	0.00114746	0.00145654	0.06923556	0.25473252	0.09079401	0.01711659	0.01789710	0.54762018
D482	0.40374970	0.00093815	0.00272300	0.39436364	0.11605287	0.06336375	0.01152743	0.00728149
D483	0.00235105	0.00298432	0.40824950	0.00579207	0.00288517	0.13496733	0.41960761	0.02316300
D484	0.00174198	0.05155617	0.75892889	0.02896405	0.00213774	0.00131258	0.07651496	0.07884358
D485	0.01373925	0.05031478	0.78881198	0.00418824	0.01412547	0.00128098	0.05059419	0.07694516
D486	0.00065356	0.00082960	0.85401553	0.02012332	0.02394355	0.00049245	0.00093701	0.09900501
D487	0.00068861	0.52266759	0.24636583	0.08459825	0.00084506	0.00539544	0.00098727	0.13845187
D488	0.00381007	0.08578188	0.36480168	0.00938653	0.03165751	0.05683457	0.30226287	0.14546494
D489	0.00987609	0.02885992	0.36320052	0.06397459	0.00683291	0.00033453	0.01635673	0.51056474
D490	0.00143999	0.36894271	0.23985103	0.04433812	0.02216241	0.00108503	0.01226217	0.30991849
D491	0.04952604	0.00040094	0.00787422	0.32959166	0.49248946	0.00471165	0.00045285	0.11495323
D492	0.01086897	0.01397262	0.52228129	0.11094621	0.03164591	0.02160266	0.07009847	0.21858391
D493	0.05919889	0.02222391	0.00980481	0.15732333	0.00326579	0.17161827	0.28650382	0.29006121
D494	0.00146997	0.00186592	0.86944163	0.01403139	0.04344372	0.00110762	0.00210752	0.06653222
D495	0.00781802	0.00992385	0.91464424	0.01926054	0.00959415	0.00589086	0.01120877	0.02165961
D496	0.00419466	0.76519060	0.02029046	0.11154769	0.02636638	0.00039109	0.01544667	0.05657246
D497	0.00048851	0.72710794	0.09520541	0.02887922	0.00059949	0.00036809	0.04221397	0.10513737
D498	0.62306172	0.00053656	0.00155738	0.30637395	0.04542059	0.01827925	0.00359949	0.00117108
D499	0.21366546	0.00744928	0.35409686	0.01445780	0.00720179	0.00442194	0.38244826	0.01625865
D500	0.16960016	0.00012586	0.00513239	0.21329167	0.04349706	0.46695408	0.00018385	0.10121492
D501	0.01130084	0.41893160	0.01111443	0.18570691	0.16809103	0.02312949	0.00597075	0.17575498
D502	0.42833894	0.01529589	0.00106483	0.22148387	0.00119993	0.29533362	0.00057204	0.03671086
D503	0.04596193	0.00058265	0.25290683	0.03386376	0.00178533	0.01808071	0.46653691	0.18028191
D504	0.00097602	0.00035302	0.69514203	0.01156031	0.00108170	0.02439059	0.13039491	0.13610144
D505	0.48586145	0.00022632	0.01210027	0.12800242	0.01217835	0.33721310	0.00607303	0.01834513
D506	0.39322573	0.00041208	0.00112050	0.07622807	0.14241378	0.38396260	0.00060194	0.00203530
D507	0.08503352	0.00412893	0.01612930	0.82508284	0.00092438	0.00170710	0.05019490	0.01679902
D508	0.00172570	0.00062418	0.30260548	0.12338217	0.00191256	0.00353201	0.04050495	0.52571297
D509	0.00163507	0.00059140	0.16666874	0.08689120	0.00181212	0.00334651	0.12090799	0.61814702
D510	0.00068042	0.00961278	0.00066920	0.55132651	0.06944307	0.36669305	0.00035950	0.00121555
D511	0.00671834	0.01146720	0.26595971	0.06388436	0.00684850	0.01349282	0.56880331	0.06282572
D512	0.04526553	0.00022000	0.04525549	0.83336383	0.00904736	0.03194680	0.03381432	0.00108662
D513	0.07591628	0.02711825	0.00114443	0.09387457	0.14011596	0.02907898	0.00061480	0.63213676
D514	0.02971740	0.01919782	0.00197937	0.61487406	0.07611005	0.08723364	0.01029828	0.16058943
D515	0.04948312	0.00042314	0.01725499	0.20710939	0.13013186	0.07218017	0.00061810	0.52279925
D516	0.09862172	0.00034989	0.03202324	0.57518971	0.01438860	0.25055462	0.00051110	0.02836114
D517	0.04880443	0.01360578	0.02468449	0.64449865	0.01939949	0.16193028	0.00834523	0.07873173
D518	0.15050662	0.00031876	0.00086675	0.38652360	0.06567957	0.32127401	0.00450955	0.07032115
D519	0.00213062	0.00077063	0.00209548	0.59228259	0.12945800	0.26833078	0.00112571	0.00380626
D520	0.01074372	0.00388594	0.50355738	0.02865446	0.06120613	0.02198923	0.15357366	0.21638951
D521	0.06988947	0.00027248	0.00074091	0.54818469	0.00774852	0.36450654	0.00039802	0.00825942
D522	0.16587749	0.00038211	0.00103902	0.50212842	0.04964762	0.23485076	0.00055817	0.04551640
D523	0.15968469	0.00036785	0.00100023	0.28738093	0.09446106	0.36608383	0.00053733	0.09048408
D524	0.00500620	0.00443442	0.00499142	0.63950372	0.00099277	0.31833547	0.00047328	0.02626277
D525	0.00072574	0.00026250	0.00071377	0.84447038	0.00746468	0.12470193	0.00038344	0.02127757
D526	0.01740900	0.00032534	0.00913940	0.83200270	0.00925164	0.03073264	0.00047524	0.10066403
D527	0.01878706	0.15225457	0.00125134	0.11432006	0.03643956	0.00844232	0.40351114	0.26499397
D528	0.00221734	0.00080200	0.63300347	0.00591383	0.00245743	0.00453823	0.13344079	0.21762691
D529	0.00264849	0.00095794	0.46441802	0.20151143	0.10015909	0.04187962	0.00139932	0.18702608
D530	0.00067831	0.37374628	0.27456781	0.08895933	0.04121435	0.01383833	0.12485869	0.08213697
D531	0.26774150	0.00024765	0.00381525	0.69931573	0.00075884	0.01396876	0.00036176	0.01379056
D532	0.00540978	0.00195669	0.65073246	0.03925190	0.00599554	0.01107222	0.12697591	0.15860553
D533	0.00492114	0.00177995	0.02742130	0.01312512	0.02803534	0.84558171	0.00260006	0.07653540
D534	0.05978203	0.00029056	0.01184858	0.07217976	0.00089031	0.73150569	0.00042443	0.12307868
D535	0.03308542	0.00021345	0.01141217	0.39693323	0.26061630	0.29637334	0.00031180	0.00105426
D536	0.13814227	0.00022124	0.00621508	0.11390126	0.01751838	0.61873621	0.00032317	0.10494236
D537	0.00201257	0.00072793	0.00197937	0.19930153	0.03917026	0.75214964	0.00106333	0.00359536
D538	0.13293540	0.00020459	0.00055630	0.25586620	0.01100882	0.52025485	0.00029885	0.07887505
D539	0.07132261	0.00050116	0.00136272	0.14356951	0.02696725	0.74671155	0.00073206	0.00883318
D540	0.32959062	0.00033645	0.00091485	0.01101754	0.01383587	0.56959009	0.00049146	0.07422314
D541	0.00119555	0.00043242	0.05054924	0.03610424	0.08361401	0.69367468	0.06646287	0.06796700
D542	0.04110565	0.00100689	0.00273790	0.12239020	0.10527681	0.60607308	0.01424476	0.10716472
D543	0.05585080	0.00025569	0.00718277	0.05702929	0.24730909	0.62424850	0.00037349	0.00775038
D544	0.13303864	0.00015150	0.00233398	0.36438003	0.08311133	0.40448275	0.00406536	0.00843639
D545	0.00179032	0.00011587	0.00913491	0.02878390	0.13706258	0.79150146	0.00310920	0.02850179
